@T,climate,,,,,,,,,,,,,
description,Synchronized storm breakpoint data,,,,,,,,,,,,,
missing_value,-9999,,,,,,,,,,,,,
date_format,uuuu-MM-dd HH:mm:ss,,,,,,,,,,,,,
date_start,1/2/2021 16:00,,,,,,,,,,,,,
date_end,12/31/2022 16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,time,B_BenCulv,B_OldFlowers,B_SaltCabin,B_ME,B_MM,B_MW,B_UE,MRMS_17,MRMS_18,MRMS_41,MRMS_44,MRMS_73,MRMS_8
,2/3/2021 18:00,0,0,0,0,0,0,0,0.264230557,0.171802799,0.384175017,0.211313899,1.05692225,0.148166674
,2/3/2021 19:00,0,0,0,0,0,0,0,0.111477792,0.062441667,0.207433353,0.124177773,0.38205836,0.048330559
,2/3/2021 20:00,0,0,0,0,0,0,0,0.062088883,0.016933337,0.168275001,0.126647226,0.301272234,0.005644446
,2/3/2021 21:00,0,0,0,0,0,0,0,0.033866661,0,0.094544467,0.073730548,0.264583353,0
,2/3/2021 22:00,0,0,0,0,0,0,0,0,0,0,0,0,7.06E-04
,2/3/2021 23:00,0,0,0,0,0,0,0,0,0,0.049388885,0,0.19473333,0.013405559
,2/4/2021 0:00,0,0,0,0,0,0,0,0,0,0.052563884,0,0.134055562,0
,2/4/2021 1:00,0,0,0,0,0,0,0,0,0,0.053269452,0,0,0
,2/4/2021 4:00,0,0,0,0,0,0,0,0,0,0.049388892,0,0,0
,2/4/2021 5:00,0,0,0,0,0,0,0,0,0,0.049388892,0,0.536222249,0
,2/4/2021 6:00,0,0,0,0,0,0,0,0,0,0.028222229,0,0.306916667,0
,2/4/2021 7:00,0,0,0,0,0,0,0,0.066322224,0.022224996,0,0,0.30409449,0
,2/4/2021 8:00,0,0,0,0,0,0,0,0,0.02010833,0,0,0.101600011,0
,2/4/2021 15:00,0,0,0,0,0,0,0,0,0,0,0,0.070555555,0
,2/4/2021 16:00,0,0,0,0,0,0,0,0,0,0.056444458,0,0.162277792,0
,2/4/2021 21:00,0,0,0,0,0,0,0,0,0,0,0,0.228952791,0
,2/4/2021 22:00,0,0,0,0,0,0,0,0,0,0,0,0.473780578,0
,2/5/2021 7:00,0,0,0,0,0,0,0,0,0,0,0,0.08890001,0
,2/5/2021 8:00,0,0,0,0,0,0,0,0,0,0,0,0.042333343,0
,2/5/2021 10:00,0,0,0,0,0,0,0,0,0,0,0,0.005644444,0
,2/5/2021 11:00,0,0,0,0,0,0,0,0,0,0,0,0.16862778,0
,2/5/2021 12:00,0,0,0,0,0,0,0,0,0,0,0,0.322791695,0
,2/5/2021 13:00,0,0,0,0,0,0,0,0,0,0,0,0.133702788,0
,2/5/2021 14:00,0,0,0,0,0,0,0,0,0,0,0,0.047977775,0
,2/5/2021 15:00,0,0,0,0,0,0,0,0,0,0,0,0.035983333,0
,2/5/2021 16:00,0,0,0,0,0,0,0,0,0,0.001058333,0,0.058561109,0
,2/5/2021 17:00,0,0,0,0,0,0,0,0,0.039158326,0.079374987,0.012699998,0.184855571,0
,2/5/2021 18:00,0,0,0,0,0,0,0,0.062676867,0.059854622,0.101952771,0.063500006,0.259997245,0.056091662
,2/5/2021 19:00,0,0,0,0,0,0,0,0.024812039,0.011053706,0.016580553,0.016933331,0.384880571,0.007408332
,2/5/2021 20:00,0,0,0,0,0,0,0,0,0,0.090311119,0,0.294922245,0
,2/5/2021 21:00,0,0,0,0,0,0,0,0,0,0.153811101,0,0.304800026,0
,2/5/2021 22:00,0,0,0,0,0,0,0,0,0,0.044450001,0,0.406400012,0
,2/5/2021 23:00,0,0,0,0,0,0,0,0.12311946,0.115358331,0.133702772,0.171097226,0.751416728,0.139700016
,2/6/2021 0:00,0,0,0,0,0,0,0,0.176036128,0.132997217,0.182738896,0.215547227,0.529872252,0.13335001
,2/6/2021 1:00,0,0,0,0,0,0,0,0.059266664,0.038805558,0.13299722,0.040569449,0.435327812,0.028222226
,2/6/2021 2:00,0,0,0,0,0,0,0,0.080433321,0.090663888,0.14111112,0.003174999,0.60042782,0.051505563
,2/6/2021 3:00,0,0,0,0,0,0,0,0.07196666,0.081844433,0.042333326,0.069144456,0.34007779,0.040216667
,2/6/2021 4:00,0,0,0,0,0,0,0,0.21307781,0.176388899,0.111477787,0.130175019,0.300213914,0.113241669
,2/6/2021 5:00,0,0,0,0,0,0,0,0.087488901,0.068086123,0.146755563,0.125236121,0.434975044,0.058208343
,2/6/2021 6:00,0,0,0,0,0,0,0,0.028222229,0.05926666,0.126647228,0.025399996,0.498122247,0.059266672
,2/6/2021 7:00,0,0,0,0,0,0,0,0,0,0.107597209,0,0.359833361,0
,2/6/2021 8:00,0,0,0,0,0,0,0,0,0,0.089958318,0,0.125941693,0
