@T,temporal_additional,,,,,,,,,,,,,,,,,,,,,,,,
name,temporal_additional.csv,,,,,,,,,,,,,,,,,,,,,,,,
description,additional temporal parameters,,,,,,,,,,,,,,,,,,,,,,,,
context-type,temporal,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
unit,m3/s,,,,,,,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,,,,,,,,
date_start,1/2/2021 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_end,12/31/2022 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
@H,date,enableSubDaily,B_ME,B_MM,B_MW,B_UE,B_UW,MRMS_12,MRMS_13,MRMS_17,MRMS_18,,MRMS_11,,MRMS_16,,,MRMS_19,MRMS_21,MRMS_22,MRMS_23,MRMS_27,MRMS_28,MRMS_32,MRMS_33
,8/26/2021 9:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0.015051851,0,0.018344446
,8/26/2021 10:00,,0,0,0,0,0,0.064911123,0.105833337,0.210255571,0.114300005,,0.163688908,,0.158044458,,,0.150988903,0.344311133,0.241300012,0.220133349,0.248355564,0.220603722,0.438855557,0.323144459
,8/26/2021 18:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0.115711115,0,0,0,0,0.081844447,0.016933337,0.050799999
,8/26/2021 20:00,,0.3,0,0.3,0,0.9,0.266700004,0.23001113,0.375002797,0.243769463,,0.376061131,,0.395816682,,,0.223308343,0.440619459,0.537986142,0.351719456,0.44767502,0.416983355,0.457200019,0.502002796
,8/26/2021 21:00,,0.3,0,0,0,0.1,0.325261113,0.282222233,0.348897226,0.279752792,,0.361244451,,0.312561119,,,0.236713905,0.304447238,0.346075027,0.317147243,0.338313903,0.250472231,0.251177794,0.256469445
,8/26/2021 22:00,,0,0,0,0,0.2,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,8/26/2021 23:00,,0,0,0,0,0,0,0,0.076200008,0,,0,,0,,,0.039511114,0.031044445,0.050800006,0.073377775,0.050800006,0.050800006,0.122884268,0.068438898
,8/27/2021 0:00,,0,0,0,0,0,0.045155553,0.125588903,0.111477786,0.129822233,,0.087488886,,0.036688894,,,0.204611124,0.049388896,0.094544448,0.107244443,0.094544448,0.248355548,0.201671307,0.295627793
,8/27/2021 14:00,,0,0,0,0,0,0.080433341,0.090311116,0.111477795,0.086077776,,0.283633332,,0.423333353,,,0.031044448,0.38523335,0.323144459,0.138288898,0.328788899,0.101600011,0.397933337,0.282222223
,8/27/2021 15:00,,0,0,0,0,0,0,0,0,0,,0,,0.006350002,,,0,0,0,0,0,0,0,0
