# hrus.csv created Fri, 16 Jun 2023, 18:14:47 called by HRU-delin
@T,hrus,
name,hrus.csv,
descr,hrus input parameter file,
,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,subcatch,
min,0,-180,-90,0,0,0,0,0,0,0,0,0,0,
max,9999,180,90,10000,9999999999,3,90,360,999999,9999,9999,9999,99999,
unit,n/a,longitude,latitude,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,n/a,
,201,-105.52606192,40.65852624,2469,33300,1,26.387,267,0,0,2,0,22,,
,202,-105.51851636,40.65485104,2397,63200,1,20.76,179,0,0,15,0,22,,
,203,-105.56547698,40.65417776,2561,230500,1,13.904,0,0,0,3,0,23,,
,204,-105.59980005,40.6573456,2781,95300,1,12.456,56,0,1,3,0,10,,
,205,-105.58229804,40.65778796,2555,25700,1,7.001,-44,0,1,4,0,16,,
,206,-105.5676423,40.65802077,2522,55000,1,15.685,54,0,1,3,0,17,,
,207,-105.56163638,40.65658033,2531,57800,1,10.552,51,0,0,3,0,14,,
,208,-105.57155521,40.65774044,2535,24100,1,19.046,125,0,1,3,0,15,,
,209,-105.58038787,40.65720375,2570,53800,1,14.298,100,0,1,3,0,16,,
,210,-105.52488852,40.65686324,2377,96800,1,23.072,282,0,0,2,0,22,,
,211,-105.5638967,40.65627063,2529,64300,1,15.545,108,0,0,3,0,23,,
,212,-105.63248482,40.65724008,2881,28100,1,17.165,101,0,0,1,0,13,,
,213,-105.59061444,40.6572772,2639,65900,1,13.576,20,0,1,3,0,16,,
,214,-105.55748473,40.65686685,2488,45500,1,7.647,0,0,0,3,0,18,,
,215,-105.54575498,40.65641319,2420,103400,1,8.782,49,0,0,3,0,20,,
,216,-105.5392392,40.65706776,2368,28600,1,9.675,47,0,0,2,0,11,,
,217,-105.54426651,40.65743767,2400,57700,1,10.769,73,0,0,3,0,20,,
,218,-105.5324549,40.65660523,2408,40200,1,13.275,4,0,0,2,0,11,,
,219,-105.63155452,40.65667314,2908,31500,1,17.356,113,0,0,3,0,13,,
,220,-105.61622158,40.65454357,2865,364100,1,12.858,99,0,0,1,0,9,,
,221,-105.58543666,40.65630058,2589,83900,1,11.832,78,0,1,3,0,16,,
,222,-105.56872185,40.65692723,2550,40700,1,11.032,56,0,1,3,0,17,,
,223,-105.53468648,40.65683031,2384,41300,1,23.794,180,0,0,2,0,11,,
,224,-105.52246766,40.65714693,2374,39100,1,32.543,283,0,0,2,0,22,,
,225,-105.64216224,40.65410819,2987,596400,1,15.398,101,0,0,1,0,13,,
,226,-105.57529599,40.65604765,2557,94700,1,14.245,-35,0,1,3,0,15,,
,227,-105.5517395,40.65357991,2521,342700,1,14.891,81,0,0,3,0,20,,
,228,-105.53843206,40.65600389,2375,79700,1,9.099,65,0,0,3,0,11,,
,229,-105.6359273,40.65606376,2893,31500,1,6.237,71,0,0,1,0,13,,
,230,-105.59432527,40.65374607,2671,241000,1,15,-26,0,1,2,0,16,,
,231,-105.60696697,40.65480463,2841,127500,1,7.996,80,0,0,2,0,10,,
,232,-105.58011939,40.65643666,2587,33200,1,8.029,84,0,1,3,0,16,,
,233,-105.5272329,40.6557413,2356,29500,1,18.731,287,0,0,2,0,22,,
,234,-105.56931148,40.65550188,2582,59900,1,13.542,76,0,1,3,0,17,,
,235,-105.53162269,40.65817069,2409,24800,1,8.434,255,0,0,2,0,11,,
,236,-105.6315524,40.65522653,2915,46900,1,14.054,-43,0,0,1,0,19,,
,237,-105.60165554,40.65589066,2820,53900,1,11.511,118,0,1,3,0,10,,
,238,-105.63488653,40.65438302,2937,23600,1,7.09,119,0,0,1,0,13,,
,239,-105.58107931,40.65479673,2589,54200,1,6.946,0,0,0,3,0,15,,
,240,-105.53089052,40.65547056,2376,40900,1,23.312,239,0,0,2,0,11,,
,241,-105.62652196,40.6561787,2865,85300,1,11.144,87,0,0,1,0,19,,
,242,-105.52350899,40.65504745,2335,25400,1,21.652,105,0,0,2,0,22,,
,243,-105.52194016,40.65328563,2387,163400,1,14.034,96,0,0,15,0,22,,
,244,-105.63149799,40.65124948,2974,409800,1,14.337,93,0,0,1,0,19,,
,245,-105.53493156,40.6547649,2361,25800,1,11.18,64,0,0,3,0,11,,
,246,-105.54144328,40.65485847,2401,30500,1,8.358,-31,0,1,3,0,21,,
,247,-105.6012303,40.65490295,2824,23100,1,14.24,308,0,0,2,0,16,,
,248,-105.57580764,40.65427857,2579,101900,1,14.619,120,0,1,3,0,15,,
